,2009,2010,2013,2014,2015,2016,2017,2018,2019,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,5.0,01-17,0.0004444444138142794
01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,5.0,01-18,0.0004444444138142794
01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,5.0,01-19,0.0004444444138142794
01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,5.0,01-20,0.0004444444138142794
01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,01-21,0.0004444444138142794
01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,01-22,0.0004444444138142794
01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,01-23,0.0004444444138142794
01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,01-24,0.0004444444138142794
01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,01-25,0.0004444444138142794
01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,01-26,0.0
01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,01-27,0.0
01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,01-28,0.0
01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,01-29,0.0
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,01-30,0.0
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,01-31,0.0
01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-01,0.0
01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-02,0.0
01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-03,0.0
01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-04,0.0
01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-05,0.0
01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,02-06,0.0
01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,02-07,0.0
01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,02-08,0.0
01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,02-09,0.0
01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,02-10,0.0
01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,02-11,0.0
01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,02-12,0.0
01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,02-13,0.0
01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-14,0.0
01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-15,0.0
02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-16,0.0
02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-17,0.0
02-03,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-18,0.001633333456185129
02-04,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-19,0.001633333456185129
02-05,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-20,0.001633333456185129
02-06,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-21,0.001633333456185129
02-07,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-22,0.001633333456185129
02-08,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-23,0.001633333456185129
02-09,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-24,0.001633333456185129
02-10,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-25,0.001633333456185129
02-11,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-26,0.001633333456185129
02-12,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-27,0.001633333456185129
02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-28,0.0
02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-01,0.0
02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-02,0.0
02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-03,0.0
02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-04,0.0
02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-05,0.0
02-19,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-06,-0.000531111326482561
02-20,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-07,0.0005799997597932811
02-21,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-08,0.0005799997597932811
02-22,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-09,0.0005799997597932811
02-23,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-10,0.0005799997597932811
02-24,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-11,0.0005799997597932811
02-25,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-12,0.0005799997597932811
02-26,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-13,0.0005799997597932811
02-27,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-14,0.0005799997597932811
02-28,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-15,0.0005799997597932811
02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,03-15,0.0
03-01,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-16,0.0005799997597932811
03-02,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-17,0.0005799997597932811
03-03,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-18,-0.000531111326482561
03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-19,0.0
03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-20,0.0
03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-21,0.0
03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,03-22,0.0
03-08,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,03-23,0.0003877778848012288
03-09,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,03-24,0.0003877778848012288
03-10,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,03-25,0.0003877778848012288
03-11,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,03-26,0.0003877778848012288
03-12,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,03-27,0.0003877778848012288
03-13,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,03-28,0.0003877778848012288
03-14,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,03-29,0.0003877778848012288
03-15,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,03-30,0.0003877778848012288
03-16,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,03-31,0.0003877778848012288
03-17,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,04-01,0.0003877778848012288
03-18,0.0,0.0,0.0,0.0,0.0034900009632110596,0.0,0.0,0.0,0.0,1.0,6.0,04-02,0.0003877778848012288
03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,04-03,0.0
03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241293,0.0,1.0,6.0,04-04,0.0005555555431379215
03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241293,0.0,1.0,6.0,04-05,0.0005555555431379215
03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241293,0.0,1.0,6.0,04-06,0.0005555555431379215
03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241293,0.0,1.0,6.0,04-07,0.0005555555431379215
03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241293,0.0,1.0,6.0,04-08,0.0005555555431379215
03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241293,0.0,1.0,6.0,04-09,0.0005555555431379215
03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241293,0.0,1.0,6.0,04-10,0.0005555555431379215
03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241293,0.0,1.0,6.0,04-11,0.0005555555431379215
03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241293,0.0,1.0,6.0,04-12,0.0005555555431379215
03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241293,0.0,1.0,6.0,04-13,0.0005555555431379215
03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,04-14,0.0
03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,04-15,0.0
04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,04-16,0.0
04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,04-17,0.0
04-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.01999999955296516,0.0,0.0,0.0,7.0,04-18,-0.0022222221725516846
04-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.01999999955296516,0.0,0.0,0.0,7.0,04-19,-0.0022222221725516846
04-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.01999999955296516,0.0,0.0,0.0,7.0,04-20,-0.0022222221725516846
04-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.01999999955296516,0.0,0.0,0.0,8.0,04-21,-0.0022222221725516846
04-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.01999999955296516,0.0,0.0,0.0,8.0,04-22,-0.0022222221725516846
04-08,0.0,0.0,-0.04303999990224838,0.0,0.0,0.0,-0.01999999955296516,0.0,0.0,0.0,8.0,04-23,-0.007004444383912616
04-09,0.0,0.0,-0.04303999990224838,0.004780001938343048,0.0,0.0,-0.01999999955296516,0.0,0.0,1.0,7.0,04-24,-0.006473333057430055
04-10,0.0,0.0,-0.04303999990224838,0.004780001938343048,0.0,0.0,-0.01999999955296516,0.0,0.0,1.0,7.0,04-25,-0.006473333057430055
04-11,0.0,0.0,-0.04303999990224838,0.004780001938343048,0.0,0.0,-0.01999999955296516,0.0,0.0,1.0,7.0,04-26,-0.006473333057430055
04-12,0.0,0.0,-0.04303999990224838,0.004780001938343048,0.0,0.0,-0.01999999955296516,0.0,0.0,1.0,7.0,04-27,-0.006473333057430055
04-13,0.0,0.0,-0.04303999990224838,0.004780001938343048,0.0,0.0,0.0,0.0,0.0,1.0,7.0,04-28,-0.004251110884878371
04-14,0.0,0.0,-0.04303999990224838,0.004780001938343048,0.0,0.0,0.0,0.0,0.0,1.0,7.0,04-29,-0.004251110884878371
04-15,0.0,0.0,-0.04303999990224838,0.004780001938343048,0.0,0.0,0.0,0.0,0.0,1.0,7.0,04-30,-0.004251110884878371
04-16,0.0,0.0,-0.04303999990224838,0.004780001938343048,0.0,0.0,0.0,0.0,0.0,1.0,7.0,05-01,-0.004251110884878371
04-17,0.0,0.0,-0.04303999990224838,0.004780001938343048,0.0,0.0,0.0,0.0,0.0,1.0,7.0,05-02,-0.004251110884878371
04-18,0.0,0.0,-0.04303999990224838,0.004780001938343048,0.0,0.0,0.0,0.0,0.0,1.0,7.0,05-03,-0.004251110884878371
04-19,0.0,0.0,0.0,0.004780001938343048,0.0,0.0,0.0,0.0,0.0,1.0,7.0,05-04,0.000531111326482561
04-20,0.0,0.0,0.0,0.004780001938343048,0.0,0.0,0.0,0.0,0.0,1.0,7.0,05-05,0.000531111326482561
04-21,0.0,0.0,0.0,0.004780001938343048,0.0,0.0,0.0,0.0,0.0,1.0,7.0,05-06,0.000531111326482561
04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-07,0.0
04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999955296516,0.0,0.0,1.0,7.0,05-08,0.0022222221725516846
04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999955296516,0.0,0.0,1.0,7.0,05-09,0.0022222221725516846
04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999955296516,0.0,0.0,1.0,7.0,05-10,0.0022222221725516846
04-26,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.01999999955296516,0.0,0.0,1.0,7.0,05-11,0.001699999802642398
04-27,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.01999999955296516,0.0,0.0,1.0,7.0,05-12,0.001699999802642398
04-28,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.01999999955296516,0.0,0.0,1.0,7.0,05-13,0.001699999802642398
04-29,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.01999999955296516,0.0,0.0,1.0,7.0,05-14,0.001699999802642398
04-30,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.01999999955296516,0.0,0.0,1.0,7.0,05-15,0.001699999802642398
05-01,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.01999999955296516,0.0,0.0,1.0,6.0,05-16,0.001699999802642398
05-02,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.01999999955296516,0.0,0.0,1.0,6.0,05-17,0.001699999802642398
05-03,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.01999999955296516,0.0,0.0,1.0,6.0,05-18,0.001699999802642398
05-04,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.0,0.0,0.0,0.0,7.0,05-19,-0.0005222223699092865
05-05,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.0,0.0,0.0,0.0,7.0,05-20,-0.0005222223699092865
05-06,0.0,0.0,0.0,0.0,0.0,-0.0047000013291835785,0.0,0.0,0.0,0.0,8.0,05-21,-0.0005222223699092865
05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-22,0.0
05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-23,0.0
05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-24,0.0
05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-25,0.0
05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-26,0.0
05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-27,0.0
05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-28,0.0
05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-29,0.0
05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-30,0.0
05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-31,0.0
05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-01,0.0
05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-02,0.0
05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-03,0.0
05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-04,0.0
05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-05,0.0
05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-06,0.0
05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-07,0.0
05-24,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-08,-0.006111110871036847
05-25,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-09,-0.006111110871036847
05-26,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-10,-0.006111110871036847
05-27,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-11,-0.006111110871036847
05-28,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-12,-0.006111110871036847
05-29,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-13,-0.006111110871036847
05-30,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-14,-0.006111110871036847
05-31,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-15,-0.006111110871036847
06-01,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-16,-0.006111110871036847
06-02,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-17,-0.006111110871036847
06-03,0.0,0.0,0.0,0.0,-0.05499999783933163,0.0,0.0,0.0,0.0,0.0,8.0,06-18,-0.006111110871036847
06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999776482582,0.0,0.0,8.0,06-19,-0.0011111110862758425
06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999776482582,0.0,0.0,8.0,06-20,-0.0011111110862758425
06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999776482582,0.0,0.0,8.0,06-21,-0.0011111110862758425
06-07,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,-0.009999999776482582,0.0,1.0,7.0,06-22,-0.0005555556466182077
06-08,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,-0.009999999776482582,0.0,1.0,6.0,06-23,-0.0005555556466182077
06-09,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,-0.009999999776482582,0.0,1.0,5.0,06-24,-0.0005555556466182077
06-10,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,-0.009999999776482582,0.0,1.0,5.0,06-25,-0.0005555556466182077
06-11,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,-0.009999999776482582,0.0,1.0,5.0,06-26,-0.0005555556466182077
06-12,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,-0.009999999776482582,0.0,1.0,5.0,06-27,-0.0005555556466182077
06-13,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,-0.009999999776482582,0.0,1.0,5.0,06-28,-0.0005555556466182077
06-14,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,-0.009999999776482582,0.0,1.0,5.0,06-29,-0.0005555556466182077
06-15,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,0.0,0.0,1.0,5.0,06-30,0.0005555554396576347
06-16,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,0.0,0.0,1.0,5.0,07-01,0.0005555554396576347
06-17,0.0,0.0,0.0,0.0,0.004999998956918713,0.0,0.0,0.0,0.0,1.0,5.0,07-02,0.0005555554396576347
06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,07-03,0.0
06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,07-04,0.0
06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,07-05,0.0
06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,07-06,0.0
06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,07-07,0.0
06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,07-08,0.0
06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,07-09,0.0
06-25,0.0,0.0,0.0,0.0,0.0,0.0,-0.014999999664723871,0.0,0.0,0.0,6.0,07-10,-0.0016666666294137635
06-26,0.0,0.0,0.0,0.019129998981952667,0.0,0.0,-0.014999999664723871,0.0,0.0,1.0,5.0,07-11,0.00045888881302542174
06-27,0.0,0.0,0.0,0.019129998981952667,0.0,0.0,-0.014999999664723871,0.0,0.0,1.0,5.0,07-12,0.00045888881302542174
06-28,0.0,0.0,0.0,0.019129998981952667,0.0,0.0,-0.014999999664723871,0.0,0.0,1.0,5.0,07-13,0.00045888881302542174
06-29,0.0,0.0,0.0,0.019129998981952667,0.0,0.0,-0.014999999664723871,0.0,0.0,1.0,5.0,07-14,0.00045888881302542174
06-30,0.0,0.0,0.0,0.019129998981952667,0.0,0.0,-0.014999999664723871,0.0,0.0,1.0,5.0,07-15,0.00045888881302542174
