,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs,close_ups,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
227,DLPH,Delphi Technologies PLC,17.02000046,TRUE,2017,,,,,,,,,,
228,DPXCF,Delphx Capital Markets Inc,0.080219999,TRUE,2018,,,,,,,,,,
229,VRNDF,Delta 9 Cannabis Inc,0.43900001,TRUE,2017,,,,,,,,,,
230,DAL,Delta Air Lines Inc,36.45999908,FALSE,2009,,9-Oct,23-Dec,5,6,5,6,9-Oct,23-Dec,13.43314927
231,DLA,Delta Apparel Inc,17.94000053,FALSE,2009,,26-Aug,9-Nov,4,7,4,7,26-Aug,9-Nov,6.181323578
232,DLRWF,Delta Drone SA,0.025,TRUE,2015,,,,,,,,,,
233,DLEUF,Delta Electronics (Thailand) PCL,1.710000038,TRUE,2016,,,,,,,,,,
234,DLEGF,Delta Electronics (Thailand) PCL,3.788199902,TRUE,2020,,,,,,,,,,
235,DELTF,Delta Galil Industries Ltd,18.54999924,TRUE,2013,,,,,,,,,,
236,DELTY,Delta Galil Industries Ltd,29.99990082,FALSE,2009,,16-Feb,1-May,7,4,5,6,16-Mar,30-May,8.877815103
237,DLLLF,Delta Lloyd N.V,$5.91 ,TRUE,,No data fetched for symbol DLLLF using YahooDailyReader,,,,,,,,,
238,DLLLY,Delta Lloyd N.V,$2.90 ,TRUE,,No data fetched for symbol DLLLY using YahooDailyReader,,,,,,,,,
239,DEBC,Delta National Bancorp,$17.50 ,TRUE,,'Date',,,,,,,,,
240,DGAS,Delta Natural Gas Co Inc,$30.69 ,TRUE,,'Date',,,,,,,,,
241,GOLHF,Delta Resources Ltd,0.272899985,FALSE,2009,,12-Jul,25-Sep,6,5,6,5,12-Jul,25-Sep,9.650975741
242,DTXMF,Deltex Medical Group PLC,0.029999999,FALSE,2009,,18-Jul,1-Oct,0,8,0,8,18-Jul,1-Oct,8.095238013
243,DEL,Deltic Timber Corp,93.27999878,TRUE,2012,,,,,,,,,,
244,DTOOF,Delticom AG,$53.55 ,TRUE,,No data fetched for symbol DTOOF using YahooDailyReader,,,,,,,,,
245,DLX,Deluxe Corp,26.14999962,FALSE,2009,,20-Nov,3-Feb,9,2,9,2,20-Nov,3-Feb,7.973609257
246,YUMSF,Demae-Can Co Ltd,27.93000031,TRUE,2018,,,,,,,,,,
247,DWRE,Demandware Inc,$74.97 ,TRUE,,'Date',,,,,,,,,
248,WILLF,Demant AS,36.09999847,TRUE,2012,,,,,,,,,,
249,WILYY,Demant AS,17.87999916,TRUE,2011,,,,,,,,,,
250,MREOF,DEMIRE Deutsche Mittelstand Real Estate AG,5.02820015,TRUE,2014,,,,,,,,,,
251,DEMO,Democrasoft Holdings Inc,0.02,FALSE,2009,,22-Feb,7-May,6,5,6,5,22-Feb,7-May,13.33664869
252,DNACF,DeNA Co Ltd,17.70000076,FALSE,2010,,16-Jun,30-Aug,6,4,2,8,17-Feb,2-May,2.812769217
253,DENI,Denali Bancorporation Inc,9.430000305,TRUE,2018,,,,,,,,,,
254,DNLI,Denali Therapeutics Inc,65.16999817,TRUE,2017,,,,,,,,,,
255,DNRCQ,Denbury Inc,0.029999999,FALSE,2009,,22-Jan,6-Apr,7,4,7,4,22-Jan,6-Apr,-21.24814498
256,DEN,Denbury Inc,17.92000008,FALSE,2009,,11-Jul,24-Sep,1,7,1,7,11-Jul,24-Sep,30.00448593
257,DNN,Denison Mines Corp,0.349999994,FALSE,2009,,1-Nov,15-Jan,6,5,6,5,1-Nov,15-Jan,9.629900998
258,DENKF,Denka Co Ltd,4.340000153,TRUE,2012,,,,,,,,,,
259,DMKBA,Denmark Bancshares Inc,23.75,TRUE,2012,,,,,,,,,,
260,DMKBB,Denmark Bancshares Inc,23.37010002,TRUE,2019,,,,,,,,,,
261,DENN,Denny's Corp,10.43000031,FALSE,2009,,4-Nov,18-Jan,8,3,8,3,4-Nov,18-Jan,8.399612485
262,DNZOF,Denso Corp,49,FALSE,2009,,25-Oct,8-Jan,6,5,4,7,20-May,3-Aug,4.08472804
263,DNZOY,Denso Corp,24.77000046,FALSE,2009,,14-Oct,28-Dec,3,8,3,8,14-Oct,28-Dec,4.699524917
264,DPAT,Dental Patient Care Amer,0.029999999,FALSE,2009,,28-Feb,13-May,7,4,7,4,28-Feb,13-May,33.19444463
265,XRAY,Dentsply Sirona Inc,51.36000061,FALSE,2009,,2-Oct,16-Dec,6,5,6,5,2-Oct,16-Dec,9.351890112
266,DNTUF,Dentsu Group Inc,31.82999992,TRUE,2013,,,,,,,,,,
267,DNTUY,Dentsu Group Inc,29.5,TRUE,2016,,,,,,,,,,
268,DNVB,Denver Bankshares Inc,200,TRUE,2012,,,,,,,,,,
269,SOSCF,Deoleo SA,0.028000001,TRUE,2017,,,,,,,,,,
270,DEQSF,DEQ Systems Corp,$0.29 ,TRUE,,No data fetched for symbol DEQSF using YahooDailyReader,,,,,,,,,
271,DSCI,Derma Sciences Inc,$7.00 ,TRUE,,'Date',,,,,,,,,
272,DMPHF,Dermapharm Holding SE,$30.57 ,TRUE,,No data fetched for symbol DMPHF using YahooDailyReader,,,,,,,,,
273,DERM,Dermira Inc,$18.75 ,TRUE,,No data fetched for symbol DERM using YahooDailyReader,,,,,,,,,
274,DMTK,DermTech Inc,13.40999985,TRUE,2017,,,,,,,,,,
275,DWVYF,Derwent London PLC,35.45000076,FALSE,2009,,12-Apr,26-Jun,5,6,5,6,25-Mar,8-Jun,11.11576551
276,DHOXY,Desarrolladora Homex SAB de CV,$0.39 ,TRUE,,'Date',,,,,,,,,
277,DESLF,Descente Ltd,11.01309967,TRUE,2016,,,,,,,,,,
278,DAUGF,Desert Gold Ventures Inc,0.140000001,TRUE,2011,,,,,,,,,,
279,DSLEF,Desert Lion Energy Inc,$0.50 ,TRUE,,No data fetched for symbol DSLEF using YahooDailyReader,,,,,,,,,
280,DMEHF,Desert Mountain Energy Corp,1.419999957,TRUE,2013,,,,,,,,,,
281,DSSHF,Design Hotels AG,$5.80 ,TRUE,,No data fetched for symbol DSSHF using YahooDailyReader,,,,,,,,,
282,DBI,Designer Brands Inc,6.360000134,FALSE,2009,,13-Sep,27-Nov,6,5,6,5,27-Sep,11-Dec,4.915266872
283,DESP,Despegar.com Corp,9.159999847,TRUE,2017,,,,,,,,,,
284,DESTQ,Destination Maternity Corp,0.01,FALSE,2009,,8-Sep,22-Nov,4,7,4,7,8-Sep,22-Nov,-13.31396614
285,DXLG,Destination XL Group Inc,0.319999993,FALSE,2009,,14-May,28-Jul,5,6,5,6,14-May,28-Jul,9.214733145
286,DSNY,Destiny Media Technologies Inc,0.703000009,FALSE,2009,,24-Sep,8-Dec,6,5,6,5,24-Sep,8-Dec,6.632505582
287,DSWL,Deswell Industries Inc,2.920000076,FALSE,2009,,28-Dec,13-Mar,7,4,7,4,28-Dec,13-Mar,2.777283401
288,DTRM,Determine Inc,$0.18 ,TRUE,,No data fetched for symbol DTRM using YahooDailyReader,,,,,,,,,
289,DRGDF,Detour Gold Corp,$17.50 ,TRUE,,No data fetched for symbol DRGDF using YahooDailyReader,,,,,,,,,
290,DTRX,Detrex Corp,$26.77 ,TRUE,,'Date',,,,,,,,,
291,DTRL,Detroit Legal News Co,300,FALSE,2010,,29-Oct,12-Jan,7,3,3,7,29-Oct,12-Jan,3.469602782
292,DMCD,Detwiler Fenton Group Inc,0.039999999,FALSE,2009,,26-Aug,9-Nov,3,8,3,8,26-Aug,9-Nov,9.745000403
293,DB,Deutsche Bank AG,10.72999954,FALSE,2009,,1-Jul,14-Sep,6,5,6,5,1-Jul,14-Sep,-4.104833577
294,DEUBF,Deutsche Beteiligungs AG,28.75,TRUE,2012,,,,,,,,,,
295,DBOEF,Deutsche Boerse AG,161.6900024,FALSE,2009,,23-Mar,6-Jun,7,4,7,4,15-Dec,28-Feb,6.568158357
296,DBOEY,Deutsche Boerse AG,16.25,FALSE,2010,,13-Dec,26-Feb,7,3,7,3,13-Dec,26-Feb,8.8112765
297,DUSCF,Deutsche EuroShop AG,12.55000019,TRUE,2013,,,,,,,,,,
298,DEUIF,Deutsche Industrie REIT-AG,$12.35 ,TRUE,,No data fetched for symbol DEUIF using YahooDailyReader,,,,,,,,,
299,DLAKF,Deutsche Lufthansa AG,11.01000023,FALSE,2010,,11-Oct,25-Dec,6,4,6,4,11-Oct,25-Dec,11.33219974
300,DLAKY,Deutsche Lufthansa AG,10.89000034,FALSE,2010,,22-Sep,6-Dec,6,4,6,4,22-Sep,6-Dec,11.68286899
301,PBBGF,Deutsche Pfandbriefbank AG,6.85010004,TRUE,2018,,,,,,,,,,
302,DPSGY,Deutsche Post AG,46.25,FALSE,2009,,19-Sep,3-Dec,5,6,5,6,19-Sep,3-Dec,3.032374083
303,DPSTF,Deutsche Post AG,46.20000076,FALSE,2009,,18-Feb,3-May,5,6,5,6,29-Jun,12-Sep,7.191081964
304,DEUPF,Deutsche Postbank AG,$39.19 ,TRUE,,'Date',,,,,,,,,
305,DTEGF,Deutsche Telekom AG,17.5,FALSE,2010,,13-Mar,27-May,2,8,2,8,13-Mar,27-May,3.068098326
306,DTEGY,Deutsche Telekom AG,17.70999908,FALSE,2009,,9-Mar,23-May,3,8,3,8,1-Sep,15-Nov,1.846812322
307,DWHHF,Deutsche Wohnen SE,50.22499847,FALSE,2009,,12-Jun,26-Aug,5,6,5,6,12-Jun,26-Aug,6.611464614
308,DTCWY,Deutsche Wohnen SE,25.18000031,TRUE,2020,,,,,,,,,,
309,DEUZF,Deutz AG,3.849999905,TRUE,2014,,,,,,,,,,
310,DVRNF,Deveron Corp,0.241300002,TRUE,2020,,,,,,,,,,
311,UREQF,DevEx Resources Ltd,0.109999999,TRUE,2013,,,,,,,,,,
312,DEVM,DevMar Equities Inc,0.02,TRUE,2012,,,,,,,,,,
313,DVN,Devon Energy Corp,11.77999973,FALSE,2009,,27-Nov,10-Feb,5,6,5,6,14-Oct,28-Dec,-1.397895098
314,DVNO,Devonshire Consolidated Inc,$0.01 ,TRUE,,No data fetched for symbol DVNO using YahooDailyReader,,,,,,,,,
315,DEITF,Devro PLC,1.970000029,TRUE,2012,,,,,,,,,,
316,DEVOY,Devro PLC,4.489999771,TRUE,2013,,,,,,,,,,
317,DEWY,Dewey Electronics Corp,4.349999905,FALSE,2009,,21-Aug,4-Nov,7,4,7,4,21-Aug,4-Nov,16.19147604
318,DXTRQ,Dex Liquidating Co,0.033059999,TRUE,2012,,,,,,,,,,
319,DXMMQ,Dex Media Inc,$0.01 ,TRUE,,'Date',,,,,,,,,
320,DXCM,DexCom Inc,336.3999939,FALSE,2009,,11-May,25-Jul,9,2,9,2,11-May,25-Jul,13.99399436
321,DXBGF,Dexia SA,14.10999966,TRUE,2019,,,,,,,,,,
322,DXBGY,Dexia SA,0.939999998,TRUE,2012,,,,,,,,,,
323,DXSPF,Dexus,6.829999924,FALSE,2009,,2-Apr,16-Jun,5,6,5,6,2-Apr,16-Jun,10.09811173
324,DFDDF,DFDS A/S,30.98340034,TRUE,2016,,,,,,,,,,
325,DFPH,DFP Healthcare Acquisitions Corp,10.05000019,TRUE,2020,,,,,,,,,,
326,DRMGF,DGO Gold Ltd,$0.91 ,TRUE,,No data fetched for symbol DRMGF using YahooDailyReader,,,,,,,,,
327,DGGRF,DGR Global Ltd,$0.10 ,TRUE,,No data fetched for symbol DGGRF using YahooDailyReader,,,,,,,,,
328,DGTC,DGT Holdings Corp,$18.25 ,TRUE,,'Date',,,,,,,,,
329,DHIFF,DH Corp,$18.95 ,TRUE,,'Date',,,,,,,,,
330,DHX,DHI Group Inc,1.850000024,FALSE,2009,,9-Feb,24-Apr,4,7,4,7,9-Feb,24-Apr,3.135866489
331,DHT,DHT Holdings Inc,5.289999962,FALSE,2009,,1-Nov,15-Jan,6,5,6,5,1-Nov,15-Jan,1.354621401
332,DIUXF,Diaceutics PLC,2.278800011,TRUE,2020,,,,,,,,,,
333,DEO,Diageo PLC,155.0899963,FALSE,2009,,3-May,17-Jul,6,5,5,6,3-May,17-Jul,3.667889209
334,DGEAF,Diageo PLC,37.74000168,FALSE,2009,,17-Sep,1-Dec,5,6,5,6,17-Sep,1-Dec,4.028632819
335,DGNOD,Diagnos Inc,$0.44 ,TRUE,,No data fetched for symbol DGNOD using YahooDailyReader,,,,,,,,,
336,DIAOF,Diagnosticos da America SA,$0.05 ,TRUE,,No data fetched for symbol DIAOF using YahooDailyReader,,,,,,,,,
337,DIALF,Dialight PLC,3.835000038,TRUE,2012,,,,,,,,,,
338,DLGNF,Dialog Semiconductor PLC,41.09999847,FALSE,2010,,26-Dec,11-Mar,6,4,6,4,26-Dec,11-Mar,8.48876707
339,DMIFF,Diamcor Mining Inc,0.059999999,TRUE,2012,,,,,,,,,,
340,DMAC,DiaMedica Therapeutics Inc,4.179999828,TRUE,2012,,,,,,,,,,
341,DMNB,Diamond Bancshares Inc,75,TRUE,2015,,,,,,,,,,
342,DWWEF,Diamond Estates Wines & Spirits Inc,0.103,TRUE,2017,,,,,,,,,,
343,DFIFF,Diamond Fields Resources Inc,0.086499996,FALSE,2009,,25-Nov,8-Feb,6,5,6,5,25-Nov,8-Feb,18.99741602
344,DMND,Diamond Foods Inc,$37.56 ,TRUE,,'Date',,,,,,,,,
345,DHIL,Diamond Hill Investment Group Inc,149.6999969,FALSE,2009,,22-Sep,6-Dec,6,5,6,5,13-Sep,27-Nov,10.62292242
346,DLMI,Diamond Lake Minerals Inc,0.550000012,TRUE,2012,,,,,,,,,,
347,DOFSQ,Diamond Offshore Drilling Inc,0.159999996,FALSE,2009,,9-Feb,24-Apr,5,6,5,6,9-Feb,24-Apr,0.109757499
348,DRII,Diamond Resorts International Inc,$30.22 ,TRUE,,'Date',,,,,,,,,
349,DSSI,Diamond S Shipping Inc,6.110000134,TRUE,2019,,,,,,,,,,
350,FANG,Diamondback Energy Inc,33.59999847,TRUE,2012,,,,,,,,,,
351,DHCC,Diamondhead Casino Corp,0.200900003,FALSE,2009,,10-Dec,23-Feb,3,8,3,8,10-Dec,23-Feb,8.245280656
352,DPHC,DiamondPeak Holdings Corp,18.20999908,TRUE,2019,,,,,,,,,,
353,DRH,Diamondrock Hospitality Co,6.650000095,FALSE,2009,,6-Nov,20-Jan,5,6,5,6,16-Oct,30-Dec,5.965911266
354,DYMDF,Diamyd Medical AB,1.919999957,TRUE,2020,,,,,,,,,,
355,DSX,Diana Shipping Inc,1.539999962,FALSE,2009,,1-Sep,15-Nov,5,6,5,6,1-Sep,15-Nov,1.383095448
356,DSRLF,Diasorin SpA,183,TRUE,2012,,,,,,,,,,
357,DICCF,DIC Corp,$28.40 ,TRUE,,No data fetched for symbol DICCF using YahooDailyReader,,,,,,,,,
358,DRNA,Dicerna Pharmaceuticals Inc,22.87999916,TRUE,2014,,,,,,,,,,
359,DKS,Dick's Sporting Goods Inc,50.90000153,FALSE,2009,,24-Jul,7-Oct,8,3,8,3,24-Jul,7-Oct,4.343606126
360,DCOHF,Dickson Concepts (International) Ltd,0.409999996,TRUE,2012,,,,,,,,,,
361,DCOIF,Dicot AB,$0.47 ,TRUE,,No data fetched for symbol DCOIF using YahooDailyReader,,,,,,,,,
362,WNXDF,Diebold Nixdorf AG,$68.10 ,TRUE,,No data fetched for symbol WNXDF using YahooDailyReader,,,,,,,,,
363,WNXDY,Diebold Nixdorf AG,$13.03 ,TRUE,,No data fetched for symbol WNXDY using YahooDailyReader,,,,,,,,,
364,DBD,Diebold Nixdorf Inc,8.140000343,FALSE,2009,,11-Feb,26-Apr,6,5,6,5,12-Feb,27-Apr,-0.705345364
365,TNTHF,Difference Capital Financial Inc,2.266000032,TRUE,2018,,,,,,,,,,
366,DFFN,Diffusion Pharmaceuticals Inc,0.709999979,FALSE,2009,,14-Mar,28-May,3,8,3,8,14-Mar,28-May,12.35276658
367,DTGI,Digerati Technologies Inc,0.046999998,FALSE,2009,,30-Jan,14-Apr,6,5,6,5,30-Jan,14-Apr,13.02949618
368,DGII,Digi International Inc,16.70000076,FALSE,2009,,19-May,2-Aug,5,6,5,6,19-May,2-Aug,8.349187988
369,DIGBF,Digi.com Bhd,$1.10 ,TRUE,,No data fetched for symbol DIGBF using YahooDailyReader,,,,,,,,,
370,HSSHF,Digihost Technology Inc,0.140000001,TRUE,2020,,,,,,,,,,
371,DGLT,Digiliti Money Group Inc,0.005,TRUE,2014,,,,,,,,,,
372,DMRC,Digimarc Corp,33.77000046,FALSE,2009,,9-Apr,23-Jun,5,6,5,6,9-Apr,23-Jun,17.10329103
373,EQOS,Diginex Ltd,7.150000095,TRUE,2020,,,,,,,,,,
374,DIGP,DigiPath Inc,0.0233,TRUE,2012,,,,,,,,,,
375,DRAD,Digirad Corp,2.630000114,FALSE,2009,,27-Jan,11-Apr,7,4,7,4,12-Feb,27-Apr,6.878804948
376,DGLY,Digital Ally Inc,2.519999981,FALSE,2009,,15-Aug,29-Oct,4,7,4,7,15-Aug,29-Oct,5.112257709
377,DATI,Digital Asset Monetary Network Inc,0.125,FALSE,2009,,23-Oct,6-Jan,3,8,3,8,23-Oct,6-Jan,10.63488095
378,DCHIF,Digital China Holdings Ltd,0.769999981,FALSE,2010,,5-Sep,19-Nov,7,3,7,3,5-Sep,19-Nov,3.902352395
379,DCHIY,Digital China Holdings Ltd,2.650000095,TRUE,2013,,,,,,,,,,
380,DDDA,Digital Day Agency Inc,$25.00 ,TRUE,,No data fetched for symbol DDDA using YahooDailyReader,,,,,,,,,
381,DGDM,Digital Development Partners Inc,0.054000001,FALSE,2009,,17-Jun,31-Aug,2,9,2,9,17-Jun,31-Aug,23.49289949
382,DGMDF,Digital Domain Holdings Ltd,0.009,TRUE,2016,,,,,,,,,,
383,DLGEF,Digital Garage Inc,37.25,TRUE,2013,,,,,,,,,,
384,DGOOF,Digital Globe Services Ltd,$0.70 ,TRUE,,No data fetched for symbol DGOOF using YahooDailyReader,,,,,,,,,
385,LDSSF,Digital Landscape Group Inc,8.300000191,TRUE,2018,,,,,,,,,,
386,DLOC,Digital Locations Inc,0.01275,FALSE,2009,,3-May,17-Jul,4,7,4,7,3-May,17-Jul,-18.76225353
387,DMS,Digital Media Solutions Inc,7.869999886,TRUE,2018,,,,,,,,,,
388,DLR,Digital Realty Trust Inc,144.6499939,FALSE,2009,,26-Feb,11-May,9,2,9,2,26-Feb,11-May,7.710692667
389,APPS,Digital Turbine Inc,37.27000046,FALSE,2009,,16-Jan,31-Mar,9,2,9,2,16-Jan,31-Mar,6.349844077
390,DGGXF,Digital X Ltd,0.048,TRUE,2017,,,,,,,,,,
391,DGI,DigitalGlobe Inc,$34.40 ,TRUE,,'Date',,,,,,,,,
392,DIGI,Digitiliti Inc,0.017100001,TRUE,2012,,,,,,,,,,
393,DIZTF,Dignitana AB,0.889999986,TRUE,2015,,,,,,,,,,
394,DGNYF,Dignity PLC,2.900000095,TRUE,2018,,,,,,,,,,
395,DDS,Dillard's Inc,47.61999893,FALSE,2009,,26-Sep,10-Dec,7,4,7,4,22-Sep,6-Dec,9.579894769
396,DCOM,Dime Community Bancshares Inc,13.28999996,FALSE,2009,,19-Sep,3-Dec,8,3,7,4,3-Nov,17-Jan,4.263510982
397,DIMC,Dimeco Inc,33.40000153,FALSE,2009,,22-Dec,7-Mar,7,4,7,4,13-Apr,27-Jun,2.920758649
398,DMTX,Dimension Therapeutics Inc,$5.95 ,TRUE,,'Date',,,,,,,,,
399,DIN,Dine Brands Global Inc,59.75,FALSE,2009,,29-Aug,12-Nov,8,3,8,3,29-Aug,12-Nov,8.552436069
400,DNSBF,Dine SAB de CV,0.50999999,TRUE,2013,,,,,,,,,,
401,DWIS,Dinewise Inc,0.0131,TRUE,2012,,,,,,,,,,
402,DNOPY,Dino Polska SA,25.75,TRUE,2020,,,,,,,,,,
403,DIOD,Diodes Inc,64.30000305,FALSE,2009,,10-Oct,24-Dec,8,3,8,3,10-Oct,24-Dec,10.63899537
404,DYMEF,DionyMed Brands Inc,$0.02 ,TRUE,,No data fetched for symbol DYMEF using YahooDailyReader,,,,,,,,,
405,DIOSF,Dios Exploration Inc,0.079999998,FALSE,2010,,10-Dec,23-Feb,4,6,4,6,10-Dec,23-Feb,8.170994851
406,DPRTF,DIP Corp,25.95999908,TRUE,2019,,,,,,,,,,
407,DPLMF,Diploma PLC,$20.66 ,TRUE,,No data fetched for symbol DPLMF using YahooDailyReader,,,,,,,,,
408,DPLO,Diplomat Pharmacy Inc,$4.00 ,TRUE,,No data fetched for symbol DPLO using YahooDailyReader,,,,,,,,,
409,DRCHF,Direcional Engenharia SA,$2.07 ,TRUE,,No data fetched for symbol DRCHF using YahooDailyReader,,,,,,,,,
410,DCSX,Direct Communication Solutions Inc,0.994400024,TRUE,2020,,,,,,,,,,
411,DIISF,Direct Line Insurance Group PLC,3.960000038,TRUE,2013,,,,,,,,,,
412,DIISY,Direct Line Insurance Group PLC,15.19999981,TRUE,2013,,,,,,,,,,
413,DTPKF,Directa Plus PLC,0.790000021,TRUE,2019,,,,,,,,,,
414,DIRV,DirectView Holdings Inc,0.0231,FALSE,2010,,24-Apr,8-Jul,2,8,2,8,24-Apr,8-Jul,-5.628977232
415,DRTT,Dirtt Environmental Solutions Ltd,1.370000005,TRUE,2014,,,,,,,,,,
416,DISPF,Disco Corp,249.0500031,TRUE,2012,,,,,,,,,,
417,DSCSY,Disco Corp,57.15000153,TRUE,2016,,,,,,,,,,
418,DFS,Discover Financial Services,76.61000061,FALSE,2009,,2-Sep,16-Nov,6,5,6,5,2-Sep,16-Nov,7.860231455
419,DRVYF,Discovery Africa Ltd,0.02,TRUE,2015,,,,,,,,,,
420,DCVRF,Discovery Air Inc,$0.41 ,TRUE,,No data fetched for symbol DCVRF using YahooDailyReader,,,,,,,,,
421,DENR,Discovery Energy Corp,0.157499999,FALSE,2009,,6-Feb,21-Apr,3,7,3,7,6-Feb,21-Apr,19.94689631
422,DCHRF,Discovery Harbour Resources Corp,0.050999999,TRUE,2019,,,,,,,,,,
423,DISCA,Discovery Inc,23.12000084,FALSE,2009,,29-Jan,13-Apr,6,5,6,5,29-Jan,13-Apr,3.51266506
424,DISCB,Discovery Inc,30.38999939,FALSE,2009,,31-Jan,15-Apr,5,6,5,6,31-Jan,15-Apr,5.870736895
425,DISCK,Discovery Inc,20.89999962,FALSE,2009,,27-Mar,10-Jun,6,5,6,5,27-Mar,10-Jun,6.267212462
426,DCYHF,Discovery Ltd,8.149999619,TRUE,2012,,,,,,,,,,
427,DCYHY,Discovery Ltd,24.35000038,TRUE,2015,,,,,,,,,,
428,DSVMF,Discovery Metals Corp,1.440000057,TRUE,2017,,,,,,,,,,
429,DSCVF,Discovery-Corp Enterprises Inc,0.0559,FALSE,2010,,5-Sep,19-Nov,1,6,1,6,5-Sep,19-Nov,5.575023588
430,DISH,DISH Network Corp,31.54000092,FALSE,2009,,27-Oct,10-Jan,7,4,7,4,27-Oct,10-Jan,6.692066851
431,DTTVY,Dish TV India Ltd,0.064999998,TRUE,2019,,,,,,,,,,
432,DTLJF,Distell Group Holdings Ltd,10.23999977,TRUE,2014,,,,,,,,,,
433,DSTZF,Distell Group Holdings Ltd,6.340000153,TRUE,2018,,,,,,,,,,
434,BBVKF,Distil PLC,0.025,TRUE,2014,,,,,,,,,,
435,DIDAF,Distribuidora Internacional De Alimentacion SA,0.25,TRUE,2011,,,,,,,,,,
436,DIDAY,Distribuidora Internacional De Alimentacion SA,0.25999999,TRUE,2015,,,,,,,,,,
437,CAXPF,District Copper Corp,0.007,FALSE,2010,,7-Mar,21-May,2,8,2,8,7-Mar,21-May,5.144479107
438,MKVNF,District Metals Corp,0.260800004,FALSE,2009,,20-Nov,3-Feb,3,8,3,8,20-Nov,3-Feb,-3.768749559
439,DHCPQ,Ditech Holding Corp,$0.09 ,TRUE,,No data fetched for symbol DHCPQ using YahooDailyReader,,,,,,,,,
440,DIVXZ,Divall Insured Income Properties 2 LP,350,TRUE,2018,,,,,,,,,,
441,ILISF,Divergent Energy Services Corp,$0.19 ,TRUE,,'Date',,,,,,,,,
442,DVSAF,Diversa Ltd,$0.58 ,TRUE,,No data fetched for symbol DVSAF using YahooDailyReader,,,,,,,,,
443,DVCR,Diversicare Healthcare Services Inc,3.480000019,FALSE,2009,,26-Dec,11-Mar,6,5,6,5,24-Dec,9-Mar,5.899318037
444,DIEN,Diversified Energy Holdings Inc,0.344900012,TRUE,2012,,,,,,,,,,
445,DGOCF,Diversified Gas & Oil PLC,1.49000001,TRUE,2020,,,,,,,,,,
446,DHC,Diversified Healthcare Trust,4.010000229,FALSE,2009,,13-May,27-Jul,8,3,6,5,21-Feb,6-May,-13.68945246
447,SAUC,Diversified Restaurant Holdings Inc,$1.04 ,TRUE,,No data fetched for symbol SAUC using YahooDailyReader,,,,,,,,,
448,BEVFF,Diversified Royalty Corp,1.620000005,FALSE,2009,,21-Mar,4-Jun,6,5,5,6,21-Mar,4-Jun,6.642697031
449,DVTS,Diversified Thermal Solutions Inc,$0.01 ,TRUE,,'Date',,,,,,,,,
450,DSVTF,Divestco Inc,0.020099999,TRUE,2016,,,,,,,,,,
451,DVSPF,Dividend 15 Split Corp,4.429999828,FALSE,2010,,15-Mar,29-May,5,5,4,6,14-Mar,28-May,2.942349875
452,DVDDF,Dividend 15 Split Corp II,1.569689989,TRUE,2019,,,,,,,,,,
453,DNI,Dividend and Income Fund,9.449999809,FALSE,2009,,27-Mar,10-Jun,9,2,6,5,23-Mar,6-Jun,4.365790237
454,DDWWF,Dividend Growth Split Corp,4.124400139,TRUE,2018,,,,,,,,,,
455,DVVDF,Dividend Select 15 Corp,4.617680073,TRUE,2018,,,,,,,,,,
456,DXBRF,Dixie Brands Inc,0.125,TRUE,2019,,,,,,,,,,
