,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs,close_ups,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
457,YWRLF,Dixie Gold Inc,0.142000005,TRUE,2012,,,,,,,,,,
458,DSITF,Dixons Carphone PLC,1.559999943,TRUE,2015,,,,,,,,,,
459,DIZNF,Dizun International Enterprises Inc,$0.11 ,TRUE,,No data fetched for symbol DIZNF using YahooDailyReader,,,,,,,,,
460,DKGH,DKG Capital Inc,0.02,TRUE,2017,,,,,,,,,,
461,DKKGF,DKK Co Ltd,$30.15 ,TRUE,,No data fetched for symbol DKKGF using YahooDailyReader,,,,,,,,,
462,DKSHF,DKSH Holding Ltd,64.5,TRUE,2013,,,,,,,,,,
463,DKSHY,DKSH Holding Ltd,$13.25 ,TRUE,,No data fetched for symbol DKSHY using YahooDailyReader,,,,,,,,,
464,DMLYF,DKSH Holdings Malaysia Bhd,$0.05 ,TRUE,,No data fetched for symbol DMLYF using YahooDailyReader,,,,,,,,,
465,DLDG,DLD Group Inc,0.011,TRUE,2013,,,,,,,,,,
466,DLHC,DLH Holdings Corp,9,FALSE,2009,,10-Nov,24-Jan,7,4,7,4,10-Nov,24-Jan,10.05103377
467,DLTI,DLT Resolution Inc,1.039999962,TRUE,2012,,,,,,,,,,
468,DVRRF,DLV Resources Ltd,0.092699997,TRUE,2012,,,,,,,,,,
469,BOOM,DMC Global Inc,37.45999908,FALSE,2009,,3-Apr,17-Jun,5,6,5,6,3-Apr,17-Jun,8.716181382
470,DMCHY,DMCI Holdings Inc,0.540000021,TRUE,2016,,,,,,,,,,
471,DMCIF,DMCI Holdings Inc,$0.27 ,TRUE,,'Date',,,,,,,,,
472,APTOF,DMD Digital Health Connections Group Inc,0.189999998,TRUE,2012,,,,,,,,,,
473,DMGGF,DMG Blockchain Solutions Inc,0.092,TRUE,2018,,,,,,,,,,
474,GDMOF,DMG Mori Aktiengesellschaft,$46.91 ,TRUE,,No data fetched for symbol GDMOF using YahooDailyReader,,,,,,,,,
475,MRSKY,Dmg Mori Co Ltd,$15.00 ,TRUE,,No data fetched for symbol MRSKY using YahooDailyReader,,,,,,,,,
476,MRSKF,Dmg Mori Co Ltd,11.80000019,TRUE,2020,,,,,,,,,,
477,DMXTY,DMX Technologies Group Ltd,$3.08 ,TRUE,,No data fetched for symbol DMXTY using YahooDailyReader,,,,,,,,,
478,DMYT,dMY Technology Group Inc,11.06999969,TRUE,2020,,,,,,,,,,
479,DMYD,dMY Technology Group Inc II,10.10999966,TRUE,2020,,,,,,,,,,
480,DNBHF,DNB ASA,16.31999969,FALSE,2009,,6-Jan,21-Mar,10,1,10,1,6-Jan,21-Mar,-2.47707762
481,DNHBY,DNB ASA,16.45000076,FALSE,2010,,16-Dec,1-Mar,9,1,9,1,16-Dec,1-Mar,9.336260007
482,DNBF,DNB Financial Corp,$46.19 ,TRUE,,No data fetched for symbol DNBF using YahooDailyReader,,,,,,,,,
483,DNDT,DND Technologies Inc,0.050000001,TRUE,2013,,,,,,,,,,
484,DMNKF,DNI Metals Inc,0.0098,FALSE,2010,,24-Dec,9-Mar,4,6,4,6,24-Dec,9-Mar,14.82142796
485,BINDQ,DNIB Unwind Inc,$0.15 ,TRUE,,'Date',,,,,,,,,
486,DTNOF,DNO ASA,0.449999988,FALSE,2010,,12-Dec,25-Feb,6,4,6,4,12-Dec,25-Feb,7.005558047
487,DTNOY,DNO ASA,4.150000095,TRUE,2014,,,,,,,,,,
488,DNP,DNP Select Income Fund Inc,10.36999989,FALSE,2009,,4-Apr,18-Jun,8,3,8,3,6-Apr,20-Jun,4.760937179
489,DOCOF,DO & Co AG,42.9355011,TRUE,2016,,,,,,,,,,
490,POFFF,DO Deutsche Office AG,$4.10 ,TRUE,,No data fetched for symbol POFFF using YahooDailyReader,,,,,,,,,
491,DCBOF,Docebo Inc,45,TRUE,2020,,,,,,,,,,
492,DOCKF,Dockwise Ltd,24.07999992,FALSE,2009,,5-Aug,19-Oct,0,2,0,2,5-Aug,19-Oct,7.612156242
493,DCMT,Document Capture Technologies Inc,$0.18 ,TRUE,,'Date',,,,,,,,,
494,DSS,Document Security Systems Inc,5.090000153,FALSE,2009,,26-Sep,10-Dec,6,5,6,5,26-Sep,10-Dec,-1.650922598
495,DOCU,DocuSign Inc,205.6999969,TRUE,2018,,,,,,,,,,
496,DFASF,DOF ASA,0.055,FALSE,2010,,2-Jan,17-Mar,0,10,0,10,2-Jan,17-Mar,0
497,DSGUY,Dogan Sirketler Grubu Holdings AS,1.389999986,TRUE,2016,,,,,,,,,,
498,DOGZ,Dogness (International) Corp,2.00999999,TRUE,2017,,,,,,,,,,
499,DSBX,Dogwood State Bank,14,TRUE,2012,,,,,,,,,,
500,DOLNQ,Dolan Co,$0.06 ,TRUE,,No data fetched for symbol DOLNQ using YahooDailyReader,,,,,,,,,
501,DLB,Dolby Laboratories Inc,87.19999695,FALSE,2009,,2-Oct,16-Dec,8,3,8,3,1-Oct,15-Dec,7.144023725
502,DG,Dollar General Corp,213.8999939,FALSE,2009,,30-Mar,13-Jun,7,4,7,4,30-Mar,13-Jun,7.392180095
503,DLTR,Dollar Tree Inc,94.94999695,FALSE,2009,,14-Sep,28-Nov,6,5,6,5,14-Sep,28-Nov,7.762118211
504,DLMAF,Dollarama Inc,37.88000107,FALSE,2010,,24-Mar,7-Jun,4,6,4,6,24-Mar,7-Jun,13.45655316
505,DOLLF,Dolly Varden Silver Corp,0.629999995,TRUE,2012,,,,,,,,,,
506,FOEAY,Dolphin Drilling ASA,$0.04 ,TRUE,,No data fetched for symbol FOEAY using YahooDailyReader,,,,,,,,,
507,DLPN,Dolphin Entertainment Inc,0.680000007,FALSE,2009,,18-Jan,2-Apr,4,7,4,7,18-Jan,2-Apr,6.724629897
508,DOLPF,Dolphin Group ASA,$0.08 ,TRUE,,No data fetched for symbol DOLPF using YahooDailyReader,,,,,,,,,
509,SECZF,DOM Security SA,$39.65 ,TRUE,,No data fetched for symbol SECZF using YahooDailyReader,,,,,,,,,
510,DTCGF,Dometic Group AB,3.799999952,TRUE,2015,,,,,,,,,,
511,DDC,Dominion Diamond Corp,$14.24 ,TRUE,,'Date',,,,,,,,,
512,D,Dominion Energy Inc,84.93000031,FALSE,2009,,9-Aug,23-Oct,7,4,7,4,11-Aug,25-Oct,3.882508509
513,DCUA,Dominion Energy Inc,$58.65 ,TRUE,,No data fetched for symbol DCUA using YahooDailyReader,,,,,,,,,
514,DCUB,Dominion Energy Inc,$60.10 ,TRUE,,No data fetched for symbol DCUB using YahooDailyReader,,,,,,,,,
515,DCUC,Dominion Energy Inc,$47.80 ,TRUE,,No data fetched for symbol DCUC using YahooDailyReader,,,,,,,,,
516,DM,Dominion Energy Midstream Partners LP,17.25,TRUE,2014,,,,,,,,,,
517,DOMR,Dominion Resources Black Warrior Trust,0.0066,FALSE,2009,,11-Dec,24-Feb,8,3,8,3,11-Dec,24-Feb,-36.35462822
518,DMZPY,Domino's Pizza Enterprises Ltd,29.09000015,TRUE,2017,,,,,,,,,,
519,DPZUF,Domino's Pizza Enterprises Ltd,59.29999924,TRUE,2012,,,,,,,,,,
520,DMPZF,Domino's Pizza Group PLC,4.291900158,TRUE,2013,,,,,,,,,,
521,DPUKY,Domino's Pizza Group PLC,8.68999958,TRUE,2012,,,,,,,,,,
522,DPZ,Domino's Pizza Inc,389.6000061,FALSE,2009,,2-Jan,17-Mar,10,1,10,1,2-Jan,17-Mar,14.08616332
523,DMMOY,Dommo Energia SA,2.650000095,TRUE,2018,,,,,,,,,,
524,DOMO,Domo Inc,34.29999924,TRUE,2018,,,,,,,,,,
525,UFS,Domtar Corp,27.02000046,FALSE,2009,,24-Sep,8-Dec,7,4,7,4,24-Sep,8-Dec,9.117784556
526,DCI,Donaldson Co Inc,53.47000122,FALSE,2009,,26-Aug,9-Nov,6,5,6,5,26-Aug,9-Nov,5.981449989
527,DGICA,Donegal Group Inc,14.43999958,FALSE,2009,,28-Sep,12-Dec,3,8,3,8,27-Sep,11-Dec,4.326425123
528,DGICB,Donegal Group Inc,12.55000019,FALSE,2009,,17-Sep,1-Dec,7,4,7,4,12-Sep,26-Nov,2.039869341
529,DFHL,Dong Fang Hui Le Inc,13.5,TRUE,2012,,,,,,,,,,
530,DNGFF,Dongfang Electric Corp Ltd,$0.76 ,TRUE,,No data fetched for symbol DNGFF using YahooDailyReader,,,,,,,,,
531,DNFGF,Dongfeng Motor Group Co Ltd,0.99000001,FALSE,2009,,20-May,3-Aug,7,4,7,4,23-Aug,6-Nov,7.746123365
532,DNFGY,Dongfeng Motor Group Co Ltd,48.61999893,TRUE,2012,,,,,,,,,,
533,SZDEF,Dongjiang Environmental Co Ltd,0.790000021,TRUE,2014,,,,,,,,,,
534,DNGH,Dongsheng Pharmaceutical International Co Ltd,$0.01 ,TRUE,,No data fetched for symbol DNGH using YahooDailyReader,,,,,,,,,
535,DNGYF,Dongyue Group Ltd,$0.26 ,TRUE,,No data fetched for symbol DNGYF using YahooDailyReader,,,,,,,,,
536,DFIN,Donnelley Financial Solutions Inc,14.85000038,TRUE,2016,,,,,,,,,,
537,DRLCQ,Doral Financial Corp,0.074320003,TRUE,2012,,,,,,,,,,
538,DRYYF,Doray Minerals Ltd,$0.23 ,TRUE,,No data fetched for symbol DRYYF using YahooDailyReader,,,,,,,,,
539,DMLP,Dorchester Minerals LP,10.52999973,FALSE,2009,,10-Mar,24-May,8,3,7,4,10-Mar,24-May,7.128322548
540,DRCMF,Dore Copper Mining Corp,0.5255,TRUE,2020,,,,,,,,,,
541,DIIBF,Dorel Industries Inc,10.94999981,FALSE,2009,,3-Oct,17-Dec,4,7,4,7,1-Oct,15-Dec,1.582236253
542,DRLAF,Dorel Industries Inc,$27.82 ,TRUE,,'Date',,,,,,,,,
543,LPG,Dorian LPG Ltd,9.050000191,TRUE,2014,,,,,,,,,,
544,DRRKF,dorma+kaba Holding AG,557.5319824,TRUE,2013,,,,,,,,,,
545,DRMKY,dorma+kaba Holding AG,14.14999962,TRUE,2017,,,,,,,,,,
546,DORM,Dorman Products Inc,94.73999786,FALSE,2009,,29-Oct,12-Jan,7,4,7,4,29-Oct,12-Jan,7.892913127
547,DSHIF,Doshisha Co Ltd,15.94999981,TRUE,2017,,,,,,,,,,
548,HILL,Dot Hill Systems Corp,$9.75 ,TRUE,,'Date',,,,,,,,,
549,DTVI,Dot VN Inc,0.01,TRUE,2016,,,,,,,,,,
550,DOTDF,dotDigital Group PLC,1.850000024,TRUE,2014,,,,,,,,,,
551,DBBPF,Double Bond Pharmaceutical International AB,0.5,TRUE,2018,,,,,,,,,,
552,DDCC,Double Crown Resources Inc,$0.01 ,TRUE,,'Date',,,,,,,,,
553,DSL,DoubleLine Income Solutions Fund,16.11000061,TRUE,2013,,,,,,,,,,
554,DBL,Doubleline Opportunistic Credit Fund,19.32999992,TRUE,2012,,,,,,,,,,
555,DBLVF,Doubleview Gold Corp,0.201440006,TRUE,2014,,,,,,,,,,
556,MYDP,Dougherty's Pharmacy Inc,0.01,FALSE,2009,,16-Nov,30-Jan,5,6,5,6,16-Nov,30-Jan,16.25129861
557,PLOW,Douglas Dynamics Inc,37.33000183,FALSE,2010,,20-May,3-Aug,6,4,6,4,21-Apr,5-Jul,3.526126699
558,DEI,Douglas Emmett Inc,30.48999977,FALSE,2009,,5-Feb,20-Apr,7,4,7,4,28-Feb,13-May,6.26491969
559,DOYU,DouYu International Holdings Ltd,14.21000004,TRUE,2019,,,,,,,,,,
560,DOVA,Dova Pharmaceuticals Inc,$28.04 ,TRUE,,No data fetched for symbol DOVA using YahooDailyReader,,,,,,,,,
561,DOVXF,Dovalues SpA,9.126000404,TRUE,2020,,,,,,,,,,
562,DOV,Dover Corp,122.2799988,FALSE,2009,,15-Oct,29-Dec,9,2,9,2,15-Oct,29-Dec,6.041150443
563,DDE,Dover Downs Gaming & Entertainment Inc,$2.64 ,TRUE,,No data fetched for symbol DDE using YahooDailyReader,,,,,,,,,
564,DVD,Dover Motorsports Inc,1.809999943,FALSE,2009,,28-Oct,11-Jan,7,4,7,4,27-Oct,10-Jan,6.597930709
565,DOW,Dow Inc,51.97000122,TRUE,2019,,,,,,,,,,
566,^DJI,Dow Jones Industrial Average,29479.81055,FALSE,2009,,29-Aug,12-Nov,7,4,7,4,29-Aug,12-Nov,4.274329462
567,DWMNF,DOWA Holdings Co Ltd,28.25,TRUE,2012,,,,,,,,,,
568,DNERF,Downer EDI Ltd,$5.20 ,TRUE,,No data fetched for symbol DNERF using YahooDailyReader,,,,,,,,,
569,DNERY,Downer EDI Ltd,$14.90 ,TRUE,,No data fetched for symbol DNERY using YahooDailyReader,,,,,,,,,
570,DPW,DPW Holdings Inc,1.74000001,FALSE,2009,,20-May,3-Aug,3,8,3,8,20-May,3-Aug,9.232000248
571,DRHNF,Dr Hoenle AG,50.75,TRUE,2019,,,,,,,,,,
572,RDY,Dr Reddy's Laboratories Ltd,64.34999847,FALSE,2009,,23-Aug,6-Nov,7,4,7,4,23-Aug,6-Nov,11.93694858
573,DGWPF,Draegerwerk AG & Co KGaA,72.36000061,TRUE,2012,,,,,,,,,,
574,DRWKF,Draegerwerk AG & Co KGaA,80.15000153,TRUE,2012,,,,,,,,,,
575,DKNG,DraftKings Inc,42.84000015,TRUE,2019,,,,,,,,,,
576,DFLYF,Draganfly Inc,0.378600001,TRUE,2019,,,,,,,,,,
577,DGBMF,DRAGON BRIGHT MINTAI BOTANICAL TECHNOLOGY (CAYMAN),$0.13 ,TRUE,,No data fetched for symbol DGBMF using YahooDailyReader,,,,,,,,,
578,CDQFF,Dragon Legend Entertainment (Canada) Inc,0.017999999,TRUE,2013,,,,,,,,,,
579,DGONF,Dragon Mining Ltd,0.119999997,FALSE,2010,,25-Aug,8-Nov,2,8,2,8,25-Aug,8-Nov,6.246711631
580,DRAGF,Dragon Oil PLC,$12.00 ,TRUE,,'Date',,,,,,,,,
581,DRAGY,Dragon Oil PLC,$10.00 ,TRUE,,No data fetched for symbol DRAGY using YahooDailyReader,,,,,,,,,
582,LYL,Dragon Victory International Ltd,4.139999866,TRUE,2017,,,,,,,,,,
583,DGNR,Dragoneer Growth Opportunities Corp,11.53999996,TRUE,2020,,,,,,,,,,
584,DRWIQ,DragonWave Inc,$0.03 ,TRUE,,No data fetched for symbol DRWIQ using YahooDailyReader,,,,,,,,,
585,GRWXF,Draper Esprit PLC,7.699999809,TRUE,2018,,,,,,,,,,
586,DOTA,Draper Oakwood Technology Acquisition Inc,$5.13 ,TRUE,,'Date',,,,,,,,,
587,DRXGF,Drax Group PLC,4.010000229,TRUE,2013,,,,,,,,,,
588,DRXGY,Drax Group PLC,7,TRUE,2012,,,,,,,,,,
589,DRD,DRDGold Ltd,11.13000011,FALSE,2009,,8-Dec,21-Feb,5,6,5,6,8-Dec,21-Feb,16.41955537
590,DRDGF,DRDGold Ltd,1.110000014,TRUE,2012,,,,,,,,,,
591,DRDNF,Dreadnought Resources Ltd,0.02,TRUE,2020,,,,,,,,,,
592,DUNDF,Dream Global Real Estate Investment Trust,$12.71 ,TRUE,,No data fetched for symbol DUNDF using YahooDailyReader,,,,,,,,,
593,DREM,Dream Homes & Development Corp,0.0605,TRUE,2017,,,,,,,,,,
594,DDHRF,Dream Impact Trust,3.213490009,TRUE,2017,,,,,,,,,,
595,DREUF,Dream Industrial Real Estate Investment Trust,9.555000305,TRUE,2013,,,,,,,,,,
596,DRMMF,Dream International Ltd,0.300000012,TRUE,2020,,,,,,,,,,
597,DRETF,Dream Office Real Estate Investment Trust,15.63000011,FALSE,2009,,1-Feb,16-Apr,5,6,5,6,1-Feb,16-Apr,1.596388175
598,DRUNF,DREAM Unlimited Corp,14.30000019,TRUE,2013,,,,,,,,,,
599,DWA,Dreamworks Animation SKG Inc,$40.97 ,TRUE,,'Date',,,,,,,,,
600,DRQ,Dril-Quip Inc,28.78000069,FALSE,2009,,9-May,23-Jul,5,6,5,6,9-May,23-Jul,2.598521666
601,DRLLF,Drillsearch Energy Ltd,$0.35 ,TRUE,,'Date',,,,,,,,,
602,DS,Drive Shack Inc,1.350000024,FALSE,2009,,9-Mar,23-May,6,5,6,5,14-Mar,28-May,7.387897231
603,DRVD,Driven Deliveries Inc,0.340000004,TRUE,2017,,,,,,,,,,
604,TAKOF,Drone Delivery Canada Corp,0.519999981,TRUE,2018,,,,,,,,,,
605,DRSHF,Droneshield Ltd,0.115000002,TRUE,2016,,,,,,,,,,
606,DBX,Dropbox Inc,19.05999947,TRUE,2018,,,,,,,,,,
607,EXMXF,Dropsuite Ltd,0.100000001,TRUE,2012,,,,,,,,,,
608,DSOL,Drug Free Solution Inc,0.159999996,TRUE,2012,,,,,,,,,,
609,DRYS,DryShips Inc,$5.24 ,TRUE,,No data fetched for symbol DRYS using YahooDailyReader,,,,,,,,,
610,DSFN,DSA Financial Corp,$13.49 ,TRUE,,No data fetched for symbol DSFN using YahooDailyReader,,,,,,,,,
611,DSGT,DSG Global Inc,0.169499993,TRUE,2015,,,,,,,,,,
612,DSGLF,DSG International (Thailand) PLC,$0.14 ,TRUE,,No data fetched for symbol DSGLF using YahooDailyReader,,,,,,,,,
613,DSPG,DSP Group Inc,15.84000015,FALSE,2009,,8-Feb,23-Apr,6,5,6,5,8-Feb,23-Apr,6.909941601
614,DST,DST Systems Inc,10.09200001,TRUE,2012,,,,,,,,,,
615,DSDVF,DSV Panalpina AS,163.4600067,TRUE,2012,,,,,,,,,,
616,DSDVY,DSV Panalpina AS,81.06999969,TRUE,2018,,,,,,,,,,
617,DQWS,DSwiss Inc,12.01000023,TRUE,2017,,,,,,,,,,
618,DTE,DTE Energy Co,130.6999969,FALSE,2009,,14-Mar,28-May,8,3,8,3,18-Mar,1-Jun,5.517939872
619,DTF,DTFTax-Free Income Inc,14.43000031,FALSE,2009,,21-Mar,4-Jun,8,3,7,4,20-Mar,3-Jun,4.811800774
620,DTHR,Dthera Sciences,0.030999999,TRUE,2014,,,,,,,,,,
621,DTSI,DTS Inc,$42.52 ,TRUE,,'Date',,,,,,,,,
622,DAFL,Du-Art Film Labs Inc,89.80000305,TRUE,2016,,,,,,,,,,
623,DCT,Duck Creek Technologies Inc,39.5,TRUE,2020,,,,,,,,,,
624,DCO,Ducommun Inc,41.27000046,FALSE,2009,,9-Jul,22-Sep,8,3,8,3,9-Jul,22-Sep,6.833837591
625,DUERF,Duerr AG,32.97000122,TRUE,2014,,,,,,,,,,
626,DURYY,Duerr AG,5.909999847,TRUE,2016,,,,,,,,,,
627,DUETF,DUET Group,2.960000038,TRUE,2017,,,,,,,,,,
628,DPG,Duff & Phelps Global Utility Income Fund Inc.,11.69999981,TRUE,2011,,,,,,,,,,
629,DSE,Duff & Phelps Select MLP & Midstream Energy Fund I,4.164999962,TRUE,2014,,,,,,,,,,
630,DUC,DUFF & PHELPS UTILITY & CORPORATE BOND TRUST INC,9.170000076,FALSE,2009,,24-Jun,7-Sep,6,5,6,5,17-Apr,1-Jul,0.792955871
631,DUFRY,Dufry AG,5.489999771,TRUE,2012,,,,,,,,,,
632,DFRYF,Dufry AG,56.20999908,FALSE,2010,,1-Apr,15-Jun,5,5,5,5,1-Apr,15-Jun,4.883690069
633,DUGG,Duggan?s Distillers Products Corp,0.050000001,FALSE,2009,,22-Jun,5-Sep,0,8,0,8,22-Jun,5-Sep,18.14541126
634,DKGDF,Dukang Distillers Holdings Ltd,$0.25 ,TRUE,,No data fetched for symbol DKGDF using YahooDailyReader,,,,,,,,,
635,DUK,Duke Energy Corp,94.98000336,FALSE,2009,,4-Jun,18-Aug,8,3,6,5,25-Aug,8-Nov,4.717316248
636,DRE,Duke Realty Corp,40.33000183,FALSE,2009,,28-Feb,13-May,8,3,7,4,28-Feb,13-May,9.777035719
637,DLTH,Duluth Holdings Inc,14.52000046,TRUE,2015,,,,,,,,,,
638,DULUF,DuluxGroup Ltd,$6.85 ,TRUE,,No data fetched for symbol DULUF using YahooDailyReader,,,,,,,,,
639,DNB,Dun & Bradstreet Holdings Inc,27.39999962,TRUE,2020,,,,,,,,,,
640,DDEJF,Dundee Corp,1.110000014,FALSE,2009,,24-Aug,7-Nov,6,5,6,5,24-Aug,7-Nov,3.770355005
641,DPMLF,Dundee Precious Metals Inc,6.71999979,FALSE,2009,,26-Jun,9-Sep,5,6,5,6,26-Jun,9-Sep,11.09013701
642,DNDDF,Dundee Sustainable Technologies Inc,0.236900002,TRUE,2015,,,,,,,,,,
643,DNLMY,Dunelm Group PLC,15.05000019,TRUE,2014,,,,,,,,,,
644,DUNIF,Duni AB,$12.40 ,TRUE,,No data fetched for symbol DUNIF using YahooDailyReader,,,,,,,,,
645,DUNIY,Duni AB,29.44000053,TRUE,2013,,,,,,,,,,
646,DNKN,Dunkin' Brands Group Inc,106.1299973,TRUE,2011,,,,,,,,,,
647,DXF,Dunxin Financial Holdings Ltd,1.309999943,TRUE,2019,,,,,,,,,,
648,DUUO,Duo World Inc,0.100000001,TRUE,2017,,,,,,,,,,
649,DUOT,Duos Technologies Group Inc,3.950000048,TRUE,2017,,,,,,,,,,
650,DGWIY,Duoyuan Global Water Inc,$0.04 ,TRUE,,'Date',,,,,,,,,
651,DD,DuPont de Nemours Inc,61.63000107,FALSE,2009,,26-Aug,9-Nov,8,3,8,3,26-Aug,9-Nov,5.582871633
652,ATOXF,Durango Resources Inc,0.099299997,TRUE,2013,,,,,,,,,,
653,DUVT,DuraVest Inc,0.015,TRUE,2019,,,,,,,,,,
654,DRRX,Durect Corp,1.789999962,FALSE,2009,,26-Feb,11-May,5,6,5,6,26-Feb,11-May,13.64553256
655,DUROF,Duro Felguera SA,0.430000007,TRUE,2013,,,,,,,,,,
656,DUSXF,Dustin Group AB,8.069999695,TRUE,2020,,,,,,,,,,
657,DVLN,DVL Inc,2200,FALSE,2009,,6-May,20-Jul,6,5,6,5,6-May,20-Jul,1.047378416
658,DVXIF,DVx Inc,12.94999981,TRUE,2018,,,,,,,,,,
659,KTF,DWS Municipal Income Trust,11.18999958,FALSE,2009,,22-Jun,5-Sep,8,3,7,4,27-Oct,10-Jan,1.493828224
660,KSM,DWS Strategic Municipal Income Trust,10.93999958,FALSE,2009,,18-Mar,1-Jun,9,2,7,4,24-Mar,7-Jun,3.986305464
661,DXC,DXC Technology Co,20.5,FALSE,2009,,9-Nov,23-Jan,7,4,7,4,9-Nov,23-Jan,3.574329905
662,DXIEF,DXI Capital Corp,0.308499992,FALSE,2009,,25-Oct,8-Jan,6,5,6,5,25-Oct,8-Jan,-17.55366735
663,DXPE,DXP Enterprises Inc,21.20000076,FALSE,2009,,11-Feb,26-Apr,4,7,4,7,11-Feb,26-Apr,2.593031462
664,DXXSF,DXStorm.com Inc,$0.02 ,TRUE,,'Date',,,,,,,,,
665,DYAI,Dyadic International Inc,6.420000076,FALSE,2009,,21-Feb,6-May,5,6,5,6,21-Feb,6-May,10.17876235
666,DYAX,Dyax Corp,$38.41 ,TRUE,,'Date',,,,,,,,,
667,DY,Dycom Industries Inc,70.83999634,FALSE,2009,,28-Feb,13-May,8,3,8,3,28-Feb,13-May,9.015058843
668,DYDIF,DyDo Drinco Inc,$40.85 ,TRUE,,'Date',,,,,,,,,
669,DYNDF,Dye & Durham Corp,15.70440006,TRUE,2020,,,,,,,,,,
670,DGIX,Dyna Group International Inc,0.200000003,FALSE,2009,,3-May,17-Jul,2,9,2,9,3-May,17-Jul,8.273103982
671,DYFSF,DynaCERT Inc,0.419999987,FALSE,2009,,6-Nov,20-Jan,5,6,5,6,6-Nov,20-Jan,10.85780965
672,DNGDF,Dynacor Gold Mines Inc,1.440000057,FALSE,2010,,7-Dec,20-Feb,6,4,6,4,7-Dec,20-Feb,14.70753503
673,DYII,Dynacq Healthcare Inc,$0.03 ,TRUE,,No data fetched for symbol DYII using YahooDailyReader,,,,,,,,,
674,DLNG,Dynagas LNG Partners LP,2.50999999,TRUE,2013,,,,,,,,,,
675,DJPHF,DYNAM JAPAN HOLDINGS Co Ltd,$1.28 ,TRUE,,No data fetched for symbol DJPHF using YahooDailyReader,,,,,,,,,
676,DYNR,DynaResource Inc,0.879999995,FALSE,2009,,19-Aug,2-Nov,4,7,4,7,19-Aug,2-Nov,-1.1474621
677,DYSL,Dynasil Corp of America,1.029999971,FALSE,2009,,24-Aug,7-Nov,6,5,6,5,24-Aug,7-Nov,14.00634664
678,DYNA,Dynastar Holdings Inc,0.048999999,TRUE,2012,,,,,,,,,,
679,DYCZF,Dynasty Ceramic PCL,$0.12 ,TRUE,,No data fetched for symbol DYCZF using YahooDailyReader,,,,,,,,,
680,DGDCF,Dynasty Gold Corp,0.055500001,FALSE,2009,,10-Nov,24-Jan,3,8,3,8,10-Nov,24-Jan,21.19174381
681,DYTM,Dynatem Inc,$0.80 ,TRUE,,'Date',,,,,,,,,
682,DT,Dynatrace Inc,35.18999863,TRUE,2019,,,,,,,,,,
683,DYNT,Dynatronics Corp,0.560000002,FALSE,2009,,27-Nov,10-Feb,6,5,6,5,27-Nov,10-Feb,13.501017
684,DVAX,Dynavax Technologies Corp,4.159999847,FALSE,2009,,30-Oct,13-Jan,4,7,4,7,30-Oct,13-Jan,-0.153358008
685,DVOXQ,DynaVox Inc,0.048,TRUE,2012,,,,,,,,,,
686,DYN,Dyne Therapeutics Inc,19.30999947,TRUE,2020,,,,,,,,,,
687,DYN,Dynegy Inc,19.30999947,TRUE,2020,,,,,,,,,,
688,DX,Dynex Capital Inc,17.67000008,FALSE,2009,,26-Oct,9-Jan,6,5,6,5,15-Oct,29-Dec,4.560650761
689,DNXWF,Dynex Power Inc,0.219999999,TRUE,2011,,,,,,,,,,
690,DYNE,Dyntek Inc,15.19999981,FALSE,2010,,26-Nov,9-Feb,7,3,7,3,26-Nov,9-Feb,21.54805535
691,DZSI,DZS Inc,12.96000004,FALSE,2009,,27-Oct,10-Jan,6,5,6,5,27-Oct,10-Jan,9.554573035
